"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"92",2012,"Tamaulipas",4.15,"pri",4.13,3.436,-0.617,0.903,"pp_otro"
"93",2012,"Tlaxcala",6.201,"pri",5.508,6.592,-0.617,-1.279,"pp_otro"
"94",2012,"Veracruz",5.043,"pri",5.789,4.125,-0.338,-0.232,"pp_otro"
"95",2012,"Yucatan",7.647,"pri",6.63,6.827,1.053,-1.093,"pp_otro"
"96",2012,"Zacatecas",5.686,"pri",6.902,4.876,-1.186,-0.205,"pp_otro"
"97",2013,"Aguascalientes",4.816,"pri",3.394,5.054,-0.087,-0.031,"pp_otro"
"98",2013,"Baja California",4.936,"pan",4.297,3.964,0.907,-0.671,"pp_otro"
"99",2013,"Baja California Sur",9.989,"pan",5.994,6.917,1.579,0.155,"pp_otro"
"100",2013,"Campeche",5.043,"pri",4.176,3.229,0.16,1.081,"pp_otro"
"101",2013,"Chiapas",3.705,"pvem",4.712,2.842,-0.53,-0.581,"pp_otro"
"102",2013,"Chihuahua",2.534,"pri",1.662,3.577,-0.04,-0.02,"pp_otro"
"103",2013,"Cdmx",7.857,"prd",5.613,4.472,0.369,1.778,"pp_izq"
"104",2013,"Coahuila",8.336,"pri",6.315,4.118,0.148,2.499,"pp_otro"
"105",2013,"Colima",6.721,"pri",4.362,4.809,1.099,0.629,"pp_otro"
"106",2013,"Durango",2.877,"pri",3.298,4.544,-0.576,-1.842,"pp_otro"
"107",2013,"Guanajuato",7.337,"pan",6.933,5.767,-1.159,0.066,"pp_otro"
"108",2013,"Guerrero",1.938,"prd",3.183,1.723,-0.283,-0.781,"pp_izq"
"109",2013,"Hidalgo",5.764,"pri",4.716,5.552,-0.243,-0.407,"pp_otro"
"110",2013,"Jalisco",4.927,"pri",4.544,4.121,-0.145,-0.036,"pp_otro"
"111",2013,"Mexico",2.948,"pri",2.256,2.977,-0.526,0.832,"pp_otro"
"112",2013,"Michoacan",3.168,"pri",2.45,3.196,-0.616,0.858,"pp_otro"
"113",2013,"Morelos",6.134,"prd",4.743,3.347,1.367,0.644,"pp_izq"
"114",2013,"Nayarit",6.142,"pri",3.877,5.71,0.133,0.391,"pp_otro"
"115",2013,"Nuevo Leon",6.512,"pri",5.414,3.052,0.626,1.493,"pp_otro"
"116",2013,"Oaxaca",5.674,"mc",5.208,3.836,0.374,0.079,"pp_otro"
"117",2013,"Puebla",2.828,"pan",4.606,2.765,-0.873,-1.153,"pp_otro"
"118",2013,"Queretaro",6.651,"pri",6.36,4.868,-0.61,0.142,"pp_otro"
